Channel	Created at	Product	Issue	Type	Handled
Scooby(Mobile)	2026-01-19				Bot
Waggle Assist(Web)	2026-01-19	PM	Turning On		Human
Scooby(Mobile)	2026-01-19				Bot
Scooby(Mobile)	2026-01-19				Bot
Waggle Assist(Web)	2026-01-19	PM	Login Query		Human
Waggle Assist(Web)	2026-01-19				Bot
Scooby(Mobile)	2026-01-20				Bot
Waggle Assist(Web)	2026-01-20				Bot
Scooby(Mobile)	2026-01-20				Bot
Waggle Assist(Web)	2026-01-20				Bot
Scooby(Mobile)	2026-01-20	4g Mini Cam	App Navigation		Human
Waggle Assist(Web)	2026-01-20				Bot
Scooby(Mobile)	2026-01-20				Bot
Waggle Assist(Web)	2026-01-20	RV Mini Cam	Presales		Human
Scooby(Mobile)	2026-01-20	PM	DNR		Human
Waggle Assist(Web)	2026-01-20				Bot
Waggle Assist(Web)	2026-01-20				Bot
Scooby(Mobile)	2026-01-20				Bot
Scooby(Mobile)	2026-01-20	4g Mini Cam	Subscription Activation		Human
Waggle Assist(Web)	2026-01-20	PM	DNR		Human
Scooby(Mobile)	2026-01-20				Bot
Waggle Assist(Web)	2026-01-20				Bot
Scooby(Mobile)	2026-01-20	PM	Registration Issue		Human
Scooby(Mobile)	2026-01-20	RV Mini Cam	Device Removal		Human
Scooby(Mobile)	2026-01-20	PM	Charging Issue		Human
Scooby(Mobile)	2026-01-20				Bot
Scooby(Mobile)	2026-01-20	4g camera	Device Query		Human
Waggle Assist(Web)	2026-01-20				Bot
Scooby(Mobile)	2026-01-20				Bot
Scooby(Mobile)	2026-01-20				Bot
Scooby(Mobile)	2026-01-20				Bot
Scooby(Mobile)	2026-01-20				Bot
Waggle Assist(Web)	2026-01-21				Bot
Waggle Assist(Web)	2026-01-21				Bot
Waggle Assist(Web)	2026-01-21				Bot
Scooby(Mobile)	2026-01-21				Bot
Scooby(Mobile)	2026-01-21				Bot
Waggle Assist(Web)	2026-01-21	PM	Order Status		Human
Scooby(Mobile)	2026-01-21				Bot
Waggle Assist(Web)	2026-01-21				Bot
Waggle Assist(Web)	2026-01-21	PM	Device Query		Human
Waggle Assist(Web)	2026-01-21				Bot
Waggle Assist(Web)	2026-01-21				Bot
Scooby(Mobile)	2026-01-21				Bot
Waggle Assist(Web)	2026-01-21	PM	Charging Issue		Human
Scooby(Mobile)	2026-01-21				Bot
Scooby(Mobile)	2026-01-21				Bot
Waggle Assist(Web)	2026-01-21				Bot
Waggle Assist(Web)	2026-01-21				Bot
Scooby(Mobile)	2026-01-21				Bot
Scooby(Mobile)	2026-01-21	Waggle Smart Sensor	Connection		Human
Scooby(Mobile)	2026-01-21	PM	DNR		Human
Scooby(Mobile)	2026-01-21	PM	Subscription Cancellaiton		Human
Scooby(Mobile)	2026-01-21				Bot
Scooby(Mobile)	2026-01-21				Bot
Waggle Assist(Web)	2026-01-21				Bot
Waggle Assist(Web)	2026-01-21				Bot
Scooby(Mobile)	2026-01-21	4g Mini Cam	Device Query		Human
Waggle Assist(Web)	2026-01-21				Bot
Scooby(Mobile)	2026-01-21				Bot
Waggle Assist(Web)	2026-01-21	NA	No Reason		Human
Scooby(Mobile)	2026-01-22	PM	DNR		Human
Waggle Assist(Web)	2026-01-22	PM	Subscription Cancellaiton		Human
Scooby(Mobile)	2026-01-22				Bot
Scooby(Mobile)	2026-01-22				Bot
Scooby(Mobile)	2026-01-22	PM	Profile - Dog Breed		Human
Scooby(Mobile)	2026-01-22				Bot
Waggle Assist(Web)	2026-01-22				Bot
Scooby(Mobile)	2026-01-22				Bot
Scooby(Mobile)	2026-01-22				Bot
Scooby(Mobile)	2026-01-22				Bot
Scooby(Mobile)	2026-01-22				Bot
Scooby(Mobile)	2026-01-22				Bot
Waggle Assist(Web)	2026-01-22				Bot
Scooby(Mobile)	2026-01-22	4g Mini Cam	Device Removal		Human
Scooby(Mobile)	2026-01-22				Bot
Scooby(Mobile)	2026-01-22				Bot
Waggle Assist(Web)	2026-01-22	PM	Upgrade		Human
Scooby(Mobile)	2026-01-22	PM	DNR		Human
Waggle Assist(Web)	2026-01-22	4g camera	Subscription Activation		Human
Scooby(Mobile)	2026-01-22	PM	Subscription Activation		Human
Waggle Assist(Web)	2026-01-22				Bot
Waggle Assist(Web)	2026-01-22				Bot
Waggle Assist(Web)	2026-01-22				Bot
Waggle Assist(Web)	2026-01-22				Bot
Scooby(Mobile)	2026-01-23	PM	Subscription Activation		Human
Waggle Assist(Web)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23	PM	Flexi Plan Confusion		Human
Scooby(Mobile)	2026-01-23				Bot
Waggle Assist(Web)	2026-01-23	PM	Presales		Human
Scooby(Mobile)	2026-01-23	4g Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-23	PM	Text Alerts Exhausted		Human
Scooby(Mobile)	2026-01-23	Waggle Smart Sensor	Connection		Human
Waggle Assist(Web)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23	RV Mini Cam	Multiple Login		Human
Scooby(Mobile)	2026-01-23	RV Mini Cam	Multiple Login		Human
Scooby(Mobile)	2026-01-23				Bot
Waggle Assist(Web)	2026-01-23				Bot
Waggle Assist(Web)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23				Bot
Waggle Assist(Web)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23	PM	Display Issue		Human
Scooby(Mobile)	2026-01-23	PM	Replcement Set Up		Human
Waggle Assist(Web)	2026-01-23				Bot
Waggle Assist(Web)	2026-01-23	4g Mini Cam	Presales		Human
Waggle Assist(Web)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23	PM	Subscription Activation		Human
Waggle Assist(Web)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23	RV Mini Cam	Subscription Activation		Human
Scooby(Mobile)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23	PM	Subscription Cancellaiton		Human
Scooby(Mobile)	2026-01-23				Bot
Waggle Assist(Web)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23	PM	False Power Loss		Human
Scooby(Mobile)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23				Bot
Waggle Assist(Web)	2026-01-23	PM	Device Query		Human
Waggle Assist(Web)	2026-01-23	PM	Presales		Human
Waggle Assist(Web)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23	PM	DNR		Human
Scooby(Mobile)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23				Bot
Scooby(Mobile)	2026-01-23				Bot
Scooby(Mobile)	2026-01-24				Bot
Waggle Assist(Web)	2026-01-24	PM	App Navigation		Human
Scooby(Mobile)	2026-01-24	PM	Temp Issue		Human
Scooby(Mobile)	2026-01-24	4g camera	Connection		Human
Scooby(Mobile)	2026-01-24				Bot
Scooby(Mobile)	2026-01-24	Waggel Cam Pro	Motion alerts		Human
Scooby(Mobile)	2026-01-24	PM	DNR		Human
Scooby(Mobile)	2026-01-24				Bot
Scooby(Mobile)	2026-01-24	PM	Temp Issue		Human
Scooby(Mobile)	2026-01-24				Bot
Scooby(Mobile)	2026-01-24	PM	DNR		Human
Scooby(Mobile)	2026-01-24	PM	DNR		Human
Waggle Assist(Web)	2026-01-24	PM	DNR		Human
Scooby(Mobile)	2026-01-24				Bot
Waggle Assist(Web)	2026-01-24				Bot
Scooby(Mobile)	2026-01-24				Bot
Scooby(Mobile)	2026-01-24	PM	App Navigation		Human
Waggle Assist(Web)	2026-01-24				Bot
Waggle Assist(Web)	2026-01-24				Bot
Scooby(Mobile)	2026-01-24				Bot
Scooby(Mobile)	2026-01-24	4g Mini Cam	App Navigation		Human
Scooby(Mobile)	2026-01-24				Bot
Scooby(Mobile)	2026-01-24				Bot
Waggle Assist(Web)	2026-01-24				Bot
Waggle Assist(Web)	2026-01-24				Bot
Scooby(Mobile)	2026-01-24	4g Mini Cam	Subscription Mapping Issue		Human
Scooby(Mobile)	2026-01-24				Bot
Scooby(Mobile)	2026-01-24				Bot
Waggle Assist(Web)	2026-01-24	PM	Subscription query		Human
Waggle Assist(Web)	2026-01-24				Bot
Waggle Assist(Web)	2026-01-25				Bot
Scooby(Mobile)	2026-01-25	4g Mini Cam	Turning On		Human
Scooby(Mobile)	2026-01-25	4g Mini Cam	Subscription Activation - Combo		Human
Waggle Assist(Web)	2026-01-25	PM	Battery Issue		Human
Scooby(Mobile)	2026-01-25				Bot
Waggle Assist(Web)	2026-01-25	4g Mini Cam	Return & refund		Human
Scooby(Mobile)	2026-01-25	RV Mini Cam	Registration Issue		Human
Waggle Assist(Web)	2026-01-25				Bot
Waggle Assist(Web)	2026-01-25	4g Mini Cam	Presales		Human
Waggle Assist(Web)	2026-01-25	PM	Order Status		Human
Scooby(Mobile)	2026-01-25	PM	DNR		Human
Scooby(Mobile)	2026-01-25	PM	DNR		Human
Scooby(Mobile)	2026-01-25				Bot
Waggle Assist(Web)	2026-01-25				Bot
Waggle Assist(Web)	2026-01-25	4g Mini Cam	Subscription Activation		Human
Scooby(Mobile)	2026-01-25	PM	DNR		Human
Scooby(Mobile)	2026-01-25				Bot
Scooby(Mobile)	2026-01-25	PM	DNR		Human
Scooby(Mobile)	2026-01-25				Bot
Waggle Assist(Web)	2026-01-25	4g camera	Connection		Human
Scooby(Mobile)	2026-01-25	PM	Accessories		Human
Waggle Assist(Web)	2026-01-25				Bot
Waggle Assist(Web)	2026-01-25				Bot
Scooby(Mobile)	2026-01-26				Bot
Scooby(Mobile)	2026-01-26				Bot
Scooby(Mobile)	2026-01-26				Bot
Scooby(Mobile)	2026-01-26				Bot
Waggle Assist(Web)	2026-01-26				Bot
Waggle Assist(Web)	2026-01-26				Bot
Waggle Assist(Web)	2026-01-26	Vet Chat	Query		Human
Scooby(Mobile)	2026-01-26				Bot
Scooby(Mobile)	2026-01-26				Bot
Waggle Assist(Web)	2026-01-26	PM	Presales		Human
Waggle Assist(Web)	2026-01-26				Bot
Scooby(Mobile)	2026-01-26				Bot
Scooby(Mobile)	2026-01-26				Bot
Scooby(Mobile)	2026-01-26				Bot
Waggle Assist(Web)	2026-01-26				Bot
Scooby(Mobile)	2026-01-26	PM	Subscription Mapping Issue		Human
Scooby(Mobile)	2026-01-26				Bot
Scooby(Mobile)	2026-01-26	PM	DNR		Human
Waggle Assist(Web)	2026-01-26				Bot
Scooby(Mobile)	2026-01-26				Bot
Waggle Assist(Web)	2026-01-26	PM	Presales		Human
Waggle Assist(Web)	2026-01-26	4g Mini Cam	Presales		Human
Scooby(Mobile)	2026-01-26	PM	Turning On		Human
Scooby(Mobile)	2026-01-27				Bot
Waggle Assist(Web)	2026-01-27				Bot
Scooby(Mobile)	2026-01-27				Bot
Waggle Assist(Web)	2026-01-27				Bot
Scooby(Mobile)	2026-01-27				Bot
Scooby(Mobile)	2026-01-27				Bot
Scooby(Mobile)	2026-01-27	PM	DNR		Human
Scooby(Mobile)	2026-01-27	4g Mini Cam	Device Query		Human
Scooby(Mobile)	2026-01-27	PM	Accessories		Human
Waggle Assist(Web)	2026-01-27	PM	Subscription Cancellaiton		Human
Waggle Assist(Web)	2026-01-27				Bot
Scooby(Mobile)	2026-01-27	4g Mini Cam	Referral Query		Human
Scooby(Mobile)	2026-01-27	PM	DNR		Human
Scooby(Mobile)	2026-01-27				Bot
Waggle Assist(Web)	2026-01-27				Bot
Scooby(Mobile)	2026-01-27				Bot
Scooby(Mobile)	2026-01-27	PM	Device Removal		Human
Waggle Assist(Web)	2026-01-27				Bot
Scooby(Mobile)	2026-01-27	PM	DNR		Human
Scooby(Mobile)	2026-01-27	PM	DNR		Human
Waggle Assist(Web)	2026-01-27	PM	Presales		Human
Scooby(Mobile)	2026-01-27				Bot
Scooby(Mobile)	2026-01-27				Bot
Waggle Assist(Web)	2026-01-27				Bot
Scooby(Mobile)	2026-01-27				Bot
Waggle Assist(Web)	2026-01-27				Bot
Waggle Assist(Web)	2026-01-27	RV Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-27				Bot
Scooby(Mobile)	2026-01-27	4g Mini Cam	Subscription Activation		Human
Waggle Assist(Web)	2026-01-27				Bot
Waggle Assist(Web)	2026-01-28	4g Mini Cam	Presales		Human
Scooby(Mobile)	2026-01-28				Bot
Waggle Assist(Web)	2026-01-28				Bot
Waggle Assist(Web)	2026-01-28	RV Mini Cam	Presales		Human
Waggle Assist(Web)	2026-01-28	PM	Device Query		Human
Waggle Assist(Web)	2026-01-28	PM	Presales		Human
Scooby(Mobile)	2026-01-28				Bot
Scooby(Mobile)	2026-01-28				Bot
Waggle Assist(Web)	2026-01-28				Bot
Waggle Assist(Web)	2026-01-28				Bot
Waggle Assist(Web)	2026-01-28				Bot
Scooby(Mobile)	2026-01-28	RV Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-28				Bot
Waggle Assist(Web)	2026-01-28				Bot
Scooby(Mobile)	2026-01-28				Bot
Scooby(Mobile)	2026-01-28				Bot
Scooby(Mobile)	2026-01-28				Bot
Scooby(Mobile)	2026-01-28				Bot
Waggle Assist(Web)	2026-01-28				Bot
Scooby(Mobile)	2026-01-28	PM	Login Issue		Human
Scooby(Mobile)	2026-01-28				Bot
Scooby(Mobile)	2026-01-28				Bot
Waggle Assist(Web)	2026-01-28	PM	DNR		Human
Waggle Assist(Web)	2026-01-28	RV Mini Cam	Presales		Human
Scooby(Mobile)	2026-01-28				Bot
Scooby(Mobile)	2026-01-28				Bot
Waggle Assist(Web)	2026-01-28	Waggel Cam Pro	Connection		Human
Scooby(Mobile)	2026-01-29				Bot
Waggle Assist(Web)	2026-01-29				Bot
Scooby(Mobile)	2026-01-29				Bot
Scooby(Mobile)	2026-01-29				Bot
Waggle Assist(Web)	2026-01-29				Bot
Scooby(Mobile)	2026-01-29	4g Mini Cam	Connection		Human
Scooby(Mobile)	2026-01-29	Waggel Insurance	Waggel Insurance		Human
Scooby(Mobile)	2026-01-29				Bot
Waggle Assist(Web)	2026-01-29				Bot
Scooby(Mobile)	2026-01-29	PM	DNR		Human
Waggle Assist(Web)	2026-01-29	4g Mini Cam	Presales		Human
Scooby(Mobile)	2026-01-29				Bot
Scooby(Mobile)	2026-01-29	PM	DNR		Human
Waggle Assist(Web)	2026-01-29				Bot
Scooby(Mobile)	2026-01-29				Bot
Waggle Assist(Web)	2026-01-29	4g Mini Cam	Subscription Activation		Human
Scooby(Mobile)	2026-01-29				Bot
Scooby(Mobile)	2026-01-29				Bot
Waggle Assist(Web)	2026-01-29				Bot
Scooby(Mobile)	2026-01-30				Bot
Waggle Assist(Web)	2026-01-30				Bot
Waggle Assist(Web)	2026-01-30				Bot
Scooby(Mobile)	2026-01-30	PM	Subscription Activation		Human
Waggle Assist(Web)	2026-01-30				Bot
Waggle Assist(Web)	2026-01-30				Bot
Scooby(Mobile)	2026-01-30				Bot
Waggle Assist(Web)	2026-01-30	PM	App Navigation		Human
Waggle Assist(Web)	2026-01-30				Bot
Waggle Assist(Web)	2026-01-30	PM	Presales		Human
Waggle Assist(Web)	2026-01-30				Bot
Scooby(Mobile)	2026-01-30				Bot
Scooby(Mobile)	2026-01-30				Bot
Scooby(Mobile)	2026-01-30				Bot
Scooby(Mobile)	2026-01-30				Bot
Scooby(Mobile)	2026-01-30	PM	Subscription Activation		Human
Waggle Assist(Web)	2026-01-30				Bot
Scooby(Mobile)	2026-01-30				Bot
Waggle Assist(Web)	2026-01-30				Bot
Waggle Assist(Web)	2026-01-30	PM	Login Issue		Human
Scooby(Mobile)	2026-01-30	PM	Subscription Cancellaiton		Human
Waggle Assist(Web)	2026-01-30				Bot
Waggle Assist(Web)	2026-01-30				Bot
Waggle Assist(Web)	2026-01-30	PM	Subscription Cancellaiton		Human
Scooby(Mobile)	2026-01-30	Waggle Cam Pro	Connection		Human
Scooby(Mobile)	2026-01-31	PM	Flexi Plan Confusion		Human
Scooby(Mobile)	2026-01-31	PM	DNR		Human
Waggle Assist(Web)	2026-01-31	RV Mini Cam	Subscription Activation		Human
Scooby(Mobile)	2026-01-31	PM	Subscription Cancellaiton		Human
Waggle Assist(Web)	2026-01-31	4g Mini Cam	order related		Human
Scooby(Mobile)	2026-01-31	PM	DNR		Human
Waggle Assist(Web)	2026-01-31				Bot
Scooby(Mobile)	2026-01-31	PM	DNR		Human
Scooby(Mobile)	2026-01-31	PM	DNR		Human
Waggle Assist(Web)	2026-01-31				Bot
Scooby(Mobile)	2026-01-31	PM	DNR		Human
Scooby(Mobile)	2026-01-31	PM	DNR		Human
Scooby(Mobile)	2026-01-31	PM	DNR		Human
Waggle Assist(Web)	2026-01-31	PM	Subscription Activation - Combo		Human
